DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[CH](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	
			C[CH](O)CC(=O)SCCNC(=O)CCNC(=O)[CH](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	
DB05521			[H][C]12CCC[C]1([H])[CH](N(C2)C(=O)[CH](NC(=O)[CH](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[CH](CCC)C(=O)C(=O)NC1CC1	
			[H]OC(=O)C1([H])N(C(=O)C([H])(N([H])[H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H]	
			COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1O	T3D2921
			[H]OC(=O)C([H])(N([H])C(=O)C1([H])N([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	
DB05990			[H][C](C)(CCC(O)=O)[C]1([H])CC[C]2([H])[C]3([H])[C]([H])(O)[C]([H])(CC)[C]4([H])C[C]([H])(O)CC[C]4(C)[C]3([H])CC[C]12C	
			O[CH]1[CH](O)[CH](O[CH]2[CH](O)[CH](O)[CH](O[CH]2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)=O)O[CH]([CH]1O)C(O)=O	
			C[CH]1O[CH](OC2=CC(O)=C3C(OC(C4=CC=C(O)C=C4)=C(O[CH]4O[CH](COC(C)=O)[CH](O)[CH](O)[CH]4O)C3=O)=C2)[CH](O)[CH](O)[CH]1O	
			[H]O[C]1([H])[C]([H])(O[H])[C]([H])(OP(=O)(O[H])O[H])[C]([H])(OP(=O)(O[H])O[H])[C]([H])(O[H])[C]1([H])OP(=O)(O[H])O[H]	
			[H]OC1=C(N=C2C(=O)N([H])C(=O)N=C2N1C([H])([H])[C]([H])(O[H])[C]([H])(O[H])[C]([H])(O[H])C([H])([H])O[H])C([H])([H])[H]	
			O[CH]1[CH](O)[CH](OC2=CC=C(C=C2)C2=COC3=C(C(O)=CC(O[CH]4O[CH]([CH](O)[CH](O)[CH]4O)C(O)=O)=C3)C2=O)O[CH]([CH]1O)C(O)=O	
			[H]O[C]1([H])[C]([H])(O[H])[C]([H])(O[C]1([H])N1C([H])=NC(C(=O)N([H])[H])=C1N([H])C([H])=O)C([H])([H])OP(=O)(O[H])O[H]	
DB11126			[Ca++].[H][C](O)(CO)[C]([H])(O)[C]([H])(O)[C]([H])(O)C([O-])=O.[H][C](O)(CO)[C]([H])(O)[C]([H])(O)[C]([H])(O)C([O-])=O	
			OC(=O)[CH](CC1=CC(O)=C(O)C=C1)OC(=O)C=CC1=C2[CH]([CH](OC2=C(O)C=C1)C1=CC(O)=C(O)C=C1)C(=O)OC(CC1=CC(O)=C(O)C=C1)C(O)=O	
			C[CH]1O[CH](O[CH]2C[CH](O)[C]3(CO)[CH]4[CH](O)C[C]5(C)[CH](CC[C]5(O)[CH]4CC[C]3(O)C2)C2=CC(=O)OC2)[CH](O)[CH](O)[CH]1O	
DB11248			[Zn++].[H][C](O)(CO)[C]([H])(O)[C]([H])(O)[C]([H])(O)C([O-])=O.[H][C](O)(CO)[C]([H])(O)[C]([H])(O)[C]([H])(O)C([O-])=O	
DB00212			[H][C](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C]([H])(CC1=CN=CN1)C(O)=N[C]([H])(CC1CCCCC1)[C]([H])(O)[C]([H])(O)C1CC1	
			[H]O[C]1([H])[C]([H])(O[H])[C]([H])(OC1([H])N1C([H])=NC2=C1N([H])C([H])=NC2=O)C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H]	
DB00479			NCC[CH](O)C(=O)N[CH]1C[CH](N)[CH](O[CH]2O[CH](CN)[CH](O)[CH](O)[CH]2O)[CH](O)[CH]1O[CH]1O[CH](CO)[CH](O)[CH](N)[CH]1O	
			[H]O[C]1([H])C([H])([H])C([H])(O[C]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H])N1C([H])=NC2=C1N=C([H])N=C2N([H])[H]	
			[H][C]1(O)C[C]2([H])C(=CO[C]([H])(O[C]3([H])O[C]([H])(CO)[C]([H])(O)[C]([H])(O)[C]3([H])O)[C]2([H])[C]1([H])C)C(=O)OC	
DB02659			[H][C](C)(CCC(O)=O)[C]1([H])CC[C]2([H])[C]3([H])[C]([H])(O)C[C]4([H])C[C]([H])(O)CC[C]4(C)[C]3([H])C[C]([H])(O)[C]12C	
			[H]N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H]	
